customer_id,first_name,last_name,email,phone,city,state,signup_date
1,Ronald,Moore,timothyestrada@example.net,413.462.5890,Port Francesfurt,Mississippi,2026-02-21
2,James,Wallace,rebeccalandry@example.net,001-765-572-9231,New Corey,Illinois,2025-03-14
3,Lori,Harrison,loganjacob@example.net,+1-341-731-5176x139,North Nicholas,Nevada,2026-03-07
4,David,Turner,rnorris@example.com,(422)470-5861x38683,Katrinaview,Kansas,2023-12-12
5,Sabrina,Dickerson,kathypotter@example.com,(742)806-0572,Wilkinsside,Texas,2025-06-25
6,Sara,Johnson,jack14@example.org,440.513.3887,East Tinaville,Arkansas,2026-02-13
7,Lauren,Shaw,coreygraham@example.net,+1-875-936-2478x426,New Kristinbury,Washington,2025-11-23
8,Bradley,Kim,bellmegan@example.com,240-298-1242,Port Jacqueline,Arizona,2024-05-08
9,Anthony,Smith,wardjason@example.net,396.417.0775x453,West Shellyfurt,Delaware,2026-03-20
10,Francisco,Newton,toddtina@example.net,(851)837-0082x1339,Davilastad,New Jersey,2024-09-25
11,Steve,Jenkins,dannymccullough@example.org,7338455431,North Brett,Kentucky,2024-01-09
12,Stefanie,Clark,dorothy22@example.net,(561)436-0948x06736,Paulview,Arizona,2023-11-27
13,Matthew,Hernandez,joshua51@example.net,(703)541-6880x3184,Jessicafurt,Virginia,2025-07-07
14,Kendra,Williams,droberts@example.org,001-255-660-3623x86428,East Alexander,Maryland,2026-01-14
15,Javier,Phillips,brownalexis@example.net,+1-573-775-9938,Wongchester,Arkansas,2025-01-13
16,David,Little,pboone@example.org,292.855.4217,North Lisastad,Kansas,2024-07-24
17,Autumn,Davidson,robertsmarc@example.com,001-664-392-0561x627,Michaelberg,Tennessee,2025-03-04
18,Scott,Bartlett,dillonwade@example.org,(338)410-8563,Port Jessica,South Dakota,2023-11-23
19,Ray,Williams,kristinadiaz@example.net,301-697-7312x817,Christianborough,Washington,2024-12-24
20,Thomas,Lucero,francissergio@example.org,001-861-790-7507x963,Palmerport,New Mexico,2026-03-13
21,Cassandra,Rivera,lynchronald@example.net,5149965328,North Alan,New Hampshire,2024-06-18
22,Katherine,Nichols,luisreyes@example.org,453-966-3123,West Bethshire,Arkansas,2023-11-12
23,Daniel,Park,vchambers@example.org,(294)932-2239x8765,West Michaelfurt,Kansas,2023-12-18
24,Bradley,Simon,shannoncampbell@example.com,+1-958-397-3220x246,Port Danielborough,Ohio,2026-07-03
25,Katie,Martinez,travis87@example.com,329-981-3307x63670,Weaverfort,Minnesota,2026-03-27
26,Kara,Gilbert,griffithjaclyn@example.com,001-582-502-4722x5816,New Dawnfort,Georgia,2026-05-09
27,Cindy,Johnson,bobwhite@example.org,990.553.2034x528,Adammouth,Alaska,2025-12-12
28,John,Best,erin42@example.com,(456)514-8987,Patriciastad,Oklahoma,2024-02-19
29,Matthew,Ramirez,rebeccaalvarez@example.net,+1-486-235-0784x207,Sarahtown,Wisconsin,2025-04-02
30,Gabriel,Johnson,wilsonstacey@example.com,(321)426-1543x1091,North Lisa,Montana,2026-06-17
31,John,Foster,griffinsarah@example.org,+1-979-827-3613x52265,East Charles,Maine,2026-03-26
32,Emily,Gonzales,fbarnett@example.com,(372)429-8506x29859,Seanside,Illinois,2024-10-29
33,Angela,Perez,ericcrane@example.org,869.412.1861x239,West Ryan,Vermont,2025-02-04
34,Marc,Jackson,nchen@example.com,(535)831-6894x43680,Port Madison,Washington,2024-08-19
35,Adam,Turner,amartinez@example.org,(334)938-0356x6546,Oconnorberg,Idaho,2026-05-11
36,Daniel,Cole,brittany79@example.net,001-688-743-5675,New Jessicahaven,Utah,2025-08-24
37,Kimberly,Cooper,allenrobert@example.org,471.777.3323x7194,New Brian,Oklahoma,2026-02-25
38,Catherine,Martin,unichols@example.net,433.642.5736x406,Frankchester,Mississippi,2026-04-20
39,David,Alexander,michael24@example.org,841.249.9950,Lake Meganland,New Jersey,2025-12-06
40,Jeffrey,Bradshaw,williamscarl@example.net,001-645-413-1586,Ashleyshire,Arizona,2025-09-05
41,Corey,Townsend,hdavis@example.com,906-586-1636x62258,West Susan,North Dakota,2026-01-15
42,Melissa,Collins,martinheather@example.net,(235)424-1273x91219,West Davidview,Oklahoma,2024-02-23
43,Brian,Garrett,jonespeter@example.net,2419532649,Schwartzborough,Arizona,2025-09-05
44,Jessica,Jordan,conleymelissa@example.org,280-395-2525,Johnstonside,Kansas,2025-01-11
45,Benjamin,Jones,fbeck@example.com,204.487.2790x244,Port Joseview,Kentucky,2025-10-22
46,Brittany,Carroll,mackenziehale@example.net,9453369039,South Barryview,Montana,2025-03-02
