customer_id,first_name,last_name,email,phone,city,state,signup_date
1,Jason,Kramer,stephanie48@example.org,3623631508,Port Jennifer,Pennsylvania,2025-01-28
2,Brittany,Brown,gmccormick@example.org,(790)798-0307,Moralesburgh,North Dakota,2025-10-23
3,James,Mcintyre,hgibbs@example.com,001-599-824-7003x6491,Tapiaburgh,New Hampshire,2025-05-18
4,Suzanne,Zimmerman,patriciatorres@example.org,(489)415-0094x30361,East Johnathan,Maine,2025-02-02
5,Alexis,Solomon,kimberly01@example.org,001-523-641-2533x7476,South Natalieshire,New Jersey,2026-07-12
6,Marcus,Delgado,espinozaheather@example.org,206.458.9811x672,Valerieville,Delaware,2025-01-31
7,Brian,Hull,brandonburton@example.net,(205)263-9199x047,Kleinton,Tennessee,2026-01-31
8,Heather,Johnson,kyle34@example.com,001-859-562-5673x58108,North Nathan,Nevada,2023-10-30
9,Tammy,Moody,wendy24@example.com,5766903167,North Karla,Mississippi,2026-01-04
10,Amy,Allen,zmoore@example.com,+1-841-983-8353x53190,South Michaelville,Illinois,2026-03-02
11,Jake,Nelson,hollowayjenny@example.org,455.941.4554x559,Nathanland,Arkansas,2025-08-01
12,Rachel,Hernandez,zsnyder@example.net,+1-565-314-4047x822,Floresland,Virginia,2025-08-31
13,Timothy,Turner,millersheila@example.org,001-563-334-1557x927,West Nicole,Michigan,2025-07-31
14,Jeffrey,Cowan,evansmichael@example.org,001-919-723-2035x7597,Lake Peterfort,Ohio,2024-01-02
15,Hunter,Lawson,vrodriguez@example.net,(451)436-3657x6664,Lawrencehaven,New Jersey,2025-02-09
16,Gregory,Becker,jaredmcknight@example.net,001-703-536-5536x08634,Floresview,Vermont,2023-09-19
17,Felicia,Steele,michael93@example.net,001-432-394-5358x4009,South Victorchester,Tennessee,2023-10-06
18,Kevin,Riley,abigailfernandez@example.com,6968590838,East Brian,New Hampshire,2024-03-17
19,Kimberly,Smith,zachary58@example.net,(736)760-3310,North Davidshire,Vermont,2025-07-02
20,Kim,Gay,torresrachel@example.com,585-438-9869,South Richard,Alabama,2025-09-20
